REGEX,DESTINATION
(www\.)?labandaofficial\.com(.+)?(.*),http://www.univision.com/entretenimiento/la-banda
(www\.)?labandaoficial\.com(.+)?(.*),http://www.univision.com/entretenimiento/la-banda
(www\.)?univisioninsights\.com(.+)?(.*),http://corporate.univision.com/advertise/portfolio/
mediakit\.univision\.com(.+)?(.*),http://corporate.univision.com/advertise/portfolio/
(www\.)?usanantonio\.com(.+)?(.*),http://univision41.univision.com/
(www\.)?kwex41\.com(.+)?(.*),http://univision41.univision.com/
(www\.)?kwex\.tv(.+)?(.*),http://univision41.univision.com/?cmpid=vnt:kwex.tv
(www\.)?juntosdisfrutamos\.com(.+)?(.*),http://sitios.univision.com/juntosdisfrutamosmas
(www\.)?juntosdisfrutamosmas\.com(.+)?(.*),http://sitios.univision.com/juntosdisfrutamosmas
(www\.)?kwex-tv\.com(.+)?(.*),http://univision41.univision.com/
(www\.)?sanantonio41\.com(.+)?(.*),http://univision41.univision.com/
(www\.)?univisionlosangeles\.com(.+)?(.*),http://losangeles.univision.com?cmpid=vnt:univisionlosangeles.com
(www\.)?univision34\.com(.+)?(.*),http://losangeles.univision.com?cmpid=vnt:univision34.com
(www\.)?univision62\.com(.+)?(.*),http://univisionaustin.univision.com/?cmpid=vnt:univision62.com
(www\.)?univision41\.com(.+)?(.*),http://univision41.univision.com/
(www\.)?univisionsanantonio\.com(.+)?(.*),http://univision41.univision.com/
(www\.)?dallas49\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?houston67\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kfsf\.tv(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?kstr\.tv(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?kftr\.tv(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wfpa-tv\.com(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wfpa28\.com(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wftt-tv\.com(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wftt\.tv(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wftt50\.com(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wfty-tv\.com(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wfut\.tv(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wotf-tv\.com(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wotf\.tv(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wutf-tv\.com(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wuth-tv\.com(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wutf\.tv(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wotf43\.com(.+)?(.*),http://tv.univision.com/unimas/
